delete?,ROOT,ROOT+DIM,unique,UPPER,Italian lemma,Italian stem form,singular affix,pl affix,class,grammatical gender,animate?,feminine?
,accent,accent,accentomasc,ACCENT,accento,accent,o,i,II,masc,,
,LIT,LIT,acceso,,acceso,acces,,,,,,
,water,water,acquafem,WATER,acqua,acqu,a,e,I,fem,,
,decoration,decoration,addobbomasc,DECORATION,addobbo,addobb,o,i,II,masc,,
,aeroplane,aeroplane,aereomasc,AEROPLANE,aereo,aere,o,i,II,masc,,
,airplane,airplane,aeroplanomasc,AIRPLANE,aeroplano,aeroplan,o,i,II,masc,,
,airplane,airplane.DIM,aeroplano-DIMmasc,AIRPLANE.DIM,aeroplano-DIM,aeroplanin,o,i,II,masc,,
,APHID,APHID,afidefem,APHID,afide,afid,e,i,III,fem,ANIM,
,afterpick,afterpick,afterpickmasc,AFTERPICK,afterpick,afterpick,-ø,,VI,masc,,
,NEEDLE,NEEDLE,agomasc,NEEDLE,ago,ag,o,,II,masc,,
,hostel,hostel,albergomasc,HOSTEL,albergo,alberg,o,,II,masc,,
,tree,tree,alberomasc,TREE,albero,alber,o,,II,masc,,
,tree,tree.DIM,albero-DIMmasc,TREE.DIM,albero-DIM,alberell,o,i,II,masc,,
,lark,lark,allodolafem,LARK,allodola,allodol,a,,I,fem,ANIM,
,TALL,TALL,alto,,alto,alt,,,,,,
,friend,friend,amicafem,FRIEND,amica,amic,a,e,I,fem,ANIM,+FEM
,friend,friend,,FRIEND,amiche,amich,a,e,I,fem,ANIM,+FEM
,friend,friend,amicomasc,FRIEND,amico,amic,o,,II,masc,ANIM,-FEM
,movement,movement,andirivienimasc,MOVEMENT,andirivieni,andirivieni,-ø,-ø,VI,masc,,
,ring,ring,anellomasc,RING,anello,anell,o,,II,masc,,
,animal,animal,animalemasc,ANIMAL,animale,animal,e,,III,masc,ANIM,
,animal,animal.DIM,animale-DIMmasc,ANIMAL.DIM,animale-DIM,animalett,o,i,II,masc,ANIM,
,YEAR,YEAR,annomasc,YEAR,anno,ann,o,,II,masc,,
,ANTENNA,ANTENNA,antennafem,ANTENNA,antenna,antenn,a,,I,fem,,
,front,front,anteriore,,anteriore,anterior,,,,,,
,antislip,antislip,antiscivolomasc,ANTISLIP,antiscivolo,antiscivol,o,,II,masc,,
,BEE,BEE,apemasc,BEE,ape,ap,e,,III,masc,ANIM,
,OPEN,OPEN,aperto,,aperto,apert,,,,,,
,proper,proper,apposito,,apposito,apposit,,,,,,
,ORANGE,ORANGE,aranciafem,ORANGE,arancia,aranci,a,,I,fem,,
delete,orange,orange.SUPER,aranci-SUPERmasc,,aranci-SUPER,arancion,TBD,,,masc,,
,ORANGE,ORANGE,arancione,,arancione,arancion,,,,,,
,BOW,BOW,arcomasc,BOW,arco,arc,o,,II,masc,,
,AIR,AIR,ariafem,AIR,aria,ari,a,,I,fem,,
