ROOT,Root gender,fixed classes,paradigm saturation (sg/pl)
GRANDPARENT,both,I / II,full
BOOK,masc,II,full
BALL,fem,I,full
DIFFERENCE,fem,I,partial
BALLOON,masc,III,full
TABLE,masc,II,partial
BALLDIM,fem,I,full
HOUSEDIM,fem,I,partial
MAT,masc,II,partial
ROOF,masc,II,partial
TOWER,fem,III,full
MOTHER,fem,I,full
FINGER,ambi,V,full
HEAD,fem,I,partial
MILK,masc,III,partial
WHEELB,fem,I,full
HEN,fem,I,full
CHICK,masc,II,full
CUBE,masc,II,full
PASTIME,masc,II,full
HAND,fem,II,full
FOOT,masc,III,full
SLEEPYTIME,fem,I,partial
BABYFOOD,fem,I,partial
PAPA,masc,VI,partial
JUICE,masc,II,partial
PASTATYPE,fem,I,partial
FRUIT,fem,I,partial
TOMATO,masc,II,partial
POTATO,fem,I,full
FISH,masc,III,full
HAM,masc,II,partial
THREAD,masc,II,partial
GYMNASTICS,fem,I,partial
LEG,fem,I,full
NOSE,masc,II,partial
MOUTH,fem,I,partial
CATDIM,masc,II,full
LION,masc,III,full
COUSIN,fem,I,partial
HOLEDIM,masc,II,partial
LITTLEBIT,masc,II,partial
TROLLEY,masc,II,partial
PIECE,masc,II,full
BUTTONDIM,masc,II,partial
BUTTON,masc,III,partial
DOGDIM,masc,II,full
BIB,masc,II,partial
POCKET,fem,I,partial
TONGUEDIM,fem,I,partial
MUSIC,fem,I,partial
BELLY,masc,III,partial
TAPERECORDER,masc,III,partial
LID,masc,II,partial
CROSS,fem,III,partial
RINGA,masc,II,full
CLOVER,masc,II,partial
TRIANGLE,masc,II,full
HOLE,masc,II,partial
SEMICIRCLE,masc,II,partial
PLACE,masc,II,partial
LOCOMOTIVE,fem,I,partial
DAYB,masc,II,partial
PAIR,ambi,V,partial
HAMSTER,masc,II,partial
PIECEDIM,masc,II,full
FIGURE,fem,I,partial
MOUSEDIM,masc,II,partial
FIRE,masc,II,partial
POT,fem,I,partial
BOTTLE,fem,I,partial
CANDLE,fem,I,partial
THING,fem,I,full
MOON,fem,I,partial
CAT,masc,II,full
FOX,fem,III,partial
BOOKDIM,masc,II,full
HORSEDIM,masc,II,full
CAROUSEL,fem,I,full
BAMBINO,both,I / II,full
FAIRY,fem,I,partial
WHALE,fem,I,partial
COUNTRY,masc,III,partial
PLURAL,masc,III,partial
TOOTH,masc,III,partial
STONEB,masc,II,full
KICKAAUG,masc,III,partial
BABY,both,VI / VI,full
SOCKDIMA,fem,I,full
FLOOR,masc,II,partial
