Baseform,femm,masc
abat,,e_i
abbagli,,o_i
abbain,,o_i
abbandon,,o_i
abbandonat,a_e,
abbassament,,o_i
abbattiment,,o_i
abbazi,a_e,
abbelliment,,o_i
abbigliament,,o_i
abbinament,,o_i
abboccament,,o_i
abbonament,,o_i
abbonat,,o_i
abbondanz,a_e,
abbordaggi,,o_i
abbozz,,o_i
abbracci,,o_i
abbreviazion,e_i,
abbronzatur,a_e,
abbuffat,a_e,
abbuon,,o_i
abdicazion,e_i,
aberrazion,e_i,
abet,,e_i
abiezion,e_i,
abilitazion,e_i,
abiss,,o_i
abit,,o_i
abitacol,,o_i
abitante,e_i,e_i
abitanti,e_i,e_i
abitat,,o_i
abitator,,e_i
abitazion,e_i,
abitin,,o_i
abitual,,e_i
abitucci,,o_i
abitudin,e_i,
abitudinari,,o_i
abiur,a_e,
abnegazion,e_i,
abolizion,e_i,
aborigen,,o_i
abort,,o_i
abortist,,a_i
abrasion,e_i,
abrogazion,e_i,
abruzzes,,e_i
abuli,a_e,
abulic,,o_i
abus,,o_i
abusiv,,o_i
abusivism,,o_i
acaci,a_e,
acar,,o_i
accademi,a_e,
accademic,,o_i
accadiment,,o_i
accampament,,o_i
accaniment,,o_i
accantonament,,o_i
accaparrament,,o_i
accappatoi,,o_i
accatton,,e_i
accattonaggi,,o_i
accavallament,,o_i
accelerator,,e_i
accelerazion,e_i,
accendin,,o_i
accenn,,o_i
accension,e_i,
accent,,o_i
accentuazion,e_i,
accerchiament,,o_i
accertament,,o_i
access,,o_i
accessori,,o_i
accettazion,e_i,
accezion,e_i,
acciacc,,o_i
acciai,,o_i
acciaieri,a_e,
accident,,e_i
acciug,a_e,
acclamazion,e_i,
accoglienz,a_e,
accogliment,,o_i
accolit,,o_i
accoltellament,,o_i
accoltellator,,e_i
accomodament,,o_i
accompagnament,,o_i
accompagnator,,e_i
accompagnatric,e_i,
acconciatur,a_e,
accondiscendenz,a_e,
accont,,o_i
accoppiament,,o_i
accoppiat,a_e,
accorciament,,o_i
accord,,o_i
accorgiment,,o_i
accorpament,,o_i
accors,,o_i
accort,a_e,
accortezz,a_e,
accostament,,o_i
accozzagli,a_e,
accredit,,o_i
accreditament,,o_i
accresciment,,o_i
accumul,,o_i
accumulator,,e_i
accumulazion,e_i,
accuratezz,a_e,
accus,a_e,
accusat,,o_i
accusator,,e_i
accusatric,e_i,
acerb,a_e,
acid,,o_i
acin,,o_i
acm,,e_i
acqu,a_e,
acquarell,,o_i
acquari,,o_i
acquazzon,,e_i
acquedott,,o_i
acquerell,,o_i
acquiescenz,a_e,
