Line,{'+definite'} - False,{'-definite'} - False,{'+atomic'} - True,{'-atomic'} - True
0,10.1,10.0,10.1,10.0
1,10.1,10.0,10.1,10.0
2,10.1,10.1,10.2,10.0
3,10.1,10.1,10.2,10.0
4,10.1,10.1,10.2,10.0
5,10.1,10.2,10.299999999999999,10.0
6,10.1,10.2,10.299999999999999,10.0
7,10.2,10.2,10.299999999999999,10.1
8,10.2,10.299999999999999,10.399999999999999,10.1
9,10.299999999999999,10.299999999999999,10.499999999999998,10.1
10,10.399999999999999,10.299999999999999,10.499999999999998,10.2
11,10.399999999999999,10.299999999999999,10.499999999999998,10.2
12,10.399999999999999,10.299999999999999,10.499999999999998,10.2
13,10.399999999999999,10.299999999999999,10.499999999999998,10.2
14,10.399999999999999,10.299999999999999,10.499999999999998,10.2
15,10.499999999999998,10.299999999999999,10.599999999999998,10.2
16,10.499999999999998,10.299999999999999,10.599999999999998,10.2
17,10.499999999999998,10.299999999999999,10.599999999999998,10.2
18,10.499999999999998,10.299999999999999,10.599999999999998,10.2
19,10.499999999999998,10.299999999999999,10.599999999999998,10.2
20,10.499999999999998,10.299999999999999,10.599999999999998,10.2
21,10.599999999999998,10.299999999999999,10.699999999999998,10.2
22,10.599999999999998,10.299999999999999,10.699999999999998,10.2
23,10.599999999999998,10.299999999999999,10.699999999999998,10.2
24,10.599999999999998,10.299999999999999,10.699999999999998,10.2
25,10.599999999999998,10.299999999999999,10.699999999999998,10.2
26,10.599999999999998,10.299999999999999,10.699999999999998,10.2
27,10.599999999999998,10.299999999999999,10.699999999999998,10.2
28,10.599999999999998,10.299999999999999,10.699999999999998,10.2
29,10.599999999999998,10.299999999999999,10.699999999999998,10.2
30,10.599999999999998,10.299999999999999,10.699999999999998,10.2
31,10.599999999999998,10.299999999999999,10.699999999999998,10.2
32,10.599999999999998,10.299999999999999,10.699999999999998,10.2
33,10.599999999999998,10.299999999999999,10.699999999999998,10.2
34,10.699999999999998,10.299999999999999,10.699999999999998,10.299999999999999
