Line,"{'+definite', '+atomic'} - definite - o_1","{'-atomic', '+definite'} - definite - i_1","{'-definite', '+atomic'} - definite - o_1","{'+definite', '+atomic'} - definite - a_1","{'-atomic', '+definite'} - definite - e_2","{'-definite', '+atomic'} - definite - a_1"
0,,,,,,
1,1.1,1.1,,,,
2,1.3000000000000003,1.1,1.1,,,
3,1.3000000000000003,1.3000000000000003,1.1,1.1,,
4,1.5000000000000004,1.2000000000000002,1.1,1.3000000000000003,1.3000000000000003,
5,1.5000000000000004,1.2000000000000002,1.1,1.5000000000000004,1.3000000000000003,1.1
6,1.5000000000000004,1.4000000000000004,1.1,2.100000000000001,1.5000000000000004,1.3000000000000003
7,1.7000000000000006,1.4000000000000004,1.1,2.300000000000001,2.000000000000001,1.3000000000000003
8,1.7000000000000006,1.4000000000000004,1.1,2.5000000000000013,2.000000000000001,1.5000000000000004
9,2.300000000000001,1.6000000000000005,1.3000000000000003,2.5000000000000013,2.200000000000001,1.5000000000000004
10,2.5000000000000013,2.000000000000001,1.3000000000000003,2.7000000000000015,2.200000000000001,1.5000000000000004
11,2.7000000000000015,2.000000000000001,1.5000000000000004,2.7000000000000015,2.200000000000001,1.4000000000000004
12,2.7000000000000015,2.200000000000001,1.5000000000000004,3.300000000000002,2.4000000000000012,1.6000000000000005
13,2.9000000000000017,2.200000000000001,1.5000000000000004,3.500000000000002,2.8000000000000016,1.6000000000000005
14,2.9000000000000017,2.200000000000001,1.5000000000000004,3.7000000000000024,2.8000000000000016,1.8000000000000007
15,2.9000000000000017,2.4000000000000012,1.5000000000000004,4.300000000000002,3.0000000000000018,2.000000000000001
16,3.100000000000002,2.4000000000000012,1.5000000000000004,4.500000000000001,3.400000000000002,2.000000000000001
17,3.100000000000002,2.4000000000000012,1.5000000000000004,4.7,3.400000000000002,2.200000000000001
18,3.0000000000000018,2.6000000000000014,1.5000000000000004,5.299999999999998,3.6000000000000023,2.4000000000000012
19,3.200000000000002,2.6000000000000014,1.5000000000000004,5.499999999999997,4.000000000000003,2.4000000000000012
20,3.200000000000002,2.6000000000000014,1.5000000000000004,5.699999999999997,4.000000000000003,2.6000000000000014
21,3.200000000000002,2.8000000000000016,1.5000000000000004,6.399999999999994,4.200000000000002,2.8000000000000016
22,3.400000000000002,2.8000000000000016,1.5000000000000004,6.599999999999993,4.6000000000000005,2.8000000000000016
23,3.400000000000002,2.8000000000000016,1.4000000000000004,6.799999999999993,4.6000000000000005,3.0000000000000018
24,4.000000000000003,3.0000000000000018,1.6000000000000005,6.799999999999993,4.8,3.0000000000000018
25,4.200000000000002,3.400000000000002,1.6000000000000005,6.999999999999992,4.7,3.0000000000000018
26,4.400000000000001,3.400000000000002,1.8000000000000007,6.999999999999992,4.7,3.0000000000000018
27,4.999999999999999,3.6000000000000023,2.000000000000001,6.899999999999992,4.8999999999999995,3.0000000000000018
28,5.199999999999998,4.000000000000003,2.000000000000001,7.099999999999992,4.8999999999999995,3.0000000000000018
29,5.399999999999998,4.000000000000003,2.200000000000001,7.099999999999992,4.8999999999999995,3.0000000000000018
30,5.999999999999996,4.200000000000002,2.4000000000000012,6.999999999999992,5.099999999999999,3.0000000000000018
31,6.199999999999995,4.6000000000000005,2.4000000000000012,7.199999999999991,5.099999999999999,3.0000000000000018
32,6.399999999999994,4.6000000000000005,2.5000000000000013,7.199999999999991,5.099999999999999,3.0000000000000018
33,6.999999999999992,4.8,2.7000000000000015,7.099999999999992,5.299999999999998,3.0000000000000018
34,7.199999999999991,5.299999999999998,2.7000000000000015,7.299999999999991,5.299999999999998,3.0000000000000018
