Line,lo_1,e_1,null_1,null_2,FLOWER_1,FLOWER_2,li_1,l_1,o_1,i_1,i_2,null_3,null_4,FLOWER_3,uno_1,un_1,null_5,null_6,la_1,a_1,null_7,null_8,KEY_1,KEY_2,le_1,e_2,null_9,null_10,KEY_3,una_1,SHIP_1,SHIP_2,SHIP_3,SHELF_1,SHELF_2,SHELF_3,a_2,null_11,BALL_1,BALL_2,e_3,null_12,BALL_3,FROG_1,FROG_2,FROG_3,ANCHOR_1,ANCHOR_2,ANCHOR_3,POTATO_1,POTATO_2,POTATO_3,o_2,null_13,BOOK_1,BOOK_2,BOOK_3,MOUSE_1,MOUSE_2,MOUSE_3,CASTLE_1,CASTLE_2,CASTLE_3,TOMATO_1,TOMATO_2,TOMATO_3
0,10.1,10.1,10.0,10.0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.1,10.1,10.0,10.0,10.0,10.0,10.0,10.1,10.1,10.1,9.9,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.1,10.2,10.0,10.0,10.0,10.1,10.0,10.299999999999999,10.299999999999999,10.1,9.9,10.0,10.0,10.0,10.1,10.2,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10.1,10.1,10.0,10.0,10.0,10.1,10.0,10.599999999999998,10.299999999999999,10.299999999999999,9.9,9.9,10.0,10.0,10.1,10.2,10.0,10.0,10.0,10.1,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.1,10.1,10.0,10.0,10.0,10.1,10.0,11.099999999999996,10.499999999999998,10.2,9.8,9.8,10.0,10.0,10.1,10.2,10.0,10.0,10.0,10.299999999999999,10.0,10.0,9.9,9.9,10.0,10.299999999999999,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.1,10.2,10.0,10.0,10.0,10.1,10.0,11.299999999999995,10.499999999999998,10.2,9.8,9.8,10.0,10.0,10.1,10.599999999999998,10.0,10.0,10.0,10.499999999999998,10.0,10.0,10.0,9.9,10.0,10.299999999999999,10.0,10.0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10.0,10.1,10.0,10.0,10.0,10.1,10.0,12.099999999999993,10.499999999999998,10.399999999999999,9.8,9.8,10.0,10.0,10.1,10.799999999999997,10.0,10.0,10.0,11.099999999999996,9.9,10.0,10.0,9.9,10.0,10.499999999999998,10.0,10.0,10.0,10.1,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.0,10.1,10.0,10.0,10.0,10.1,10.0,12.79999999999999,10.699999999999998,10.399999999999999,9.9,9.8,10.0,10.0,10.1,10.799999999999997,10.0,10.0,10.0,11.299999999999995,9.9,10.0,10.0,9.9,10.0,10.999999999999996,10.0,10.1,10.0,10.1,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10.0,10.2,10.0,10.0,10.0,10.1,10.0,12.99999999999999,10.699999999999998,10.399999999999999,9.9,9.8,10.0,10.0,10.1,11.199999999999996,10.0,10.1,10.0,11.499999999999995,9.9,10.0,10.0,9.9,10.0,10.999999999999996,10.0,10.1,10.0,10.2,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.1,10.299999999999999,10.0,10.0,10.0,10.1,10.0,13.799999999999986,11.299999999999995,10.599999999999998,9.9,9.8,10.0,10.0,10.1,11.399999999999995,10.0,10.1,10.0,11.499999999999995,9.9,10.1,10.0,9.9,10.0,11.199999999999996,10.0,10.1,10.0,10.2,10.0,10.1,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.1,10.299999999999999,10.0,10.0,10.0,10.1,10.1,14.399999999999984,11.499999999999995,10.999999999999996,10.0,9.8,10.0,10.0,10.1,11.399999999999995,10.0,10.1,10.0,11.699999999999994,9.9,10.1,10.0,9.9,10.0,11.199999999999996,10.0,10.1,10.0,10.2,10.0,10.1,10.0,10.2,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
