Line,set(),{'la_1'},{'le_1'},{'l_1'},{'a_1'},{'e_2'},{'le_2'},"{'le_2', 'le_1'}",{'l_2'},"{'l_2', 'le_1'}",{'a_2'},{'e_3'},"{'le_1', 'e_3'}",{'le_3'},"{'le_1', 'le_3'}","{'le_2', 'le_3'}","{'l_2', 'le_3'}","{'le_3', 'e_3'}",{'null_5'},"{'null_5', 'le_2'}","{'null_5', 'l_2'}","{'null_5', 'e_3'}","{'null_5', 'le_3'}",{'null_6'},"{'null_6', 'le_1'}","{'null_6', 'le_3'}","{'null_5', 'null_6'}",{'e_4'},"{'e_4', 'le_1'}","{'e_4', 'le_3'}","{'null_5', 'e_4'}",{'una_1'},"{'e_3', 'una_1', 'le_3'}",{'un_1'},"{'un_1', 'le_3', 'e_3'}",{'una_2'},"{'le_3', 'e_3', 'una_2'}","{'null_5', 'la_1'}","{'le_1', 'una_2'}","{'le_2', 'e_2'}","{'null_5', 'le_2', 'una_1'}",{'il_1'},"{'e_2', 'il_1'}",{'l_3'},"{'l_3', 'e_2'}","{'le_2', 'l_3'}","{'l_3', 'l_2'}","{'l_3', 'e_3'}","{'l_3', 'le_3'}","{'l_3', 'null_6'}","{'l_3', 'e_4'}","{'l_3', 'una_2'}",{'e_5'},"{'le_2', 'e_5'}","{'l_2', 'e_5'}","{'e_5', 'e_3'}","{'e_5', 'le_3'}","{'null_6', 'e_5'}","{'e_4', 'e_5'}","{'e_5', 'una_2'}",{'i_4'},"{'e_2', 'i_4'}",{'l_4'},"{'e_2', 'l_4'}","{'l_4', 'le_1'}","{'l_4', 'le_3'}","{'null_5', 'l_4'}","{'null_5', 'una_1', 'l_4'}","{'l_3', 'l_4'}","{'l_4', 'e_5'}",{'e_6'},"{'le_1', 'e_6'}","{'e_6', 'le_3'}","{'null_5', 'e_6'}","{'e_2', 'e_6'}","{'null_5', 'una_1', 'e_6'}","{'l_3', 'e_6'}","{'e_5', 'e_6'}",{'i_5'},"{'e_2', 'i_5'}",{'il_2'},"{'e_2', 'il_2'}",{'i_6'},"{'le_2', 'i_6', 'e_5'}",{'i_7'},"{'le_2', 'i_7', 'e_5'}",{'i_8'},"{'i_8', 'le_2', 'e_5'}","{'i_8', 'e_2'}",{'l_5'},"{'e_2', 'l_5'}",{'null_71'},"{'le_2', 'e_5', 'null_71'}",{'l_6'},"{'e_2', 'l_6'}",{'i_9'},"{'null_5', 'una_1', 'i_9', 'e_6'}",{'i_10'},"{'null_5', 'una_1', 'i_10', 'e_6'}","{'e_2', 'i_10'}",{'null_94'},"{'null_5', 'una_1', 'null_94', 'e_6'}",{'i_11'},"{'null_5', 'i_11', 'una_1', 'e_6'}","{'i_11', 'e_2'}",{'null_95'},"{'e_2', 'null_95'}",{'null_96'},"{'null_5', 'una_1', 'null_96', 'e_6'}",{'null_97'},"{'null_5', 'una_1', 'e_6', 'null_97'}",{'uno_1'},"{'i_5', 'uno_1'}",{'uno_2'},"{'uno_2', 'i_5'}",{'o_1'},"{'o_1', 'i_5'}",{'un_2'},"{'un_2', 'i_5'}","{'e_3', 'un_2', 'le_3'}","{'un_2', 'le_1'}","{'l_3', 'un_2'}","{'un_2', 'e_5'}",{'a_3'},"{'e_3', 'a_3', 'le_3'}","{'a_3', 'le_1'}","{'l_3', 'a_3'}","{'a_3', 'e_5'}",{'o_2'},"{'i_5', 'o_2'}",{'uno_3'},"{'uno_3', 'i_5'}","{'il_1', 'un_2'}","{'null_5', 'le_2', 'una_1', 'i_6'}","{'i_9', 'i_5', 'uno_1'}","{'e_4', 'e_5', 'uno_1'}","{'la_1', 'le_2', 'e_5', 'null_71'}","{'una_1', 'l_4', 'e_5'}","{'null_97', 'la_1'}","{'le_2', 'l_3', 'le_1'}","{'le_2', 'l_3', 'e_2'}","{'le_2', 'l_3', 'le_1', 'una_1'}","{'e_2', 'i_10', 'il_1'}","{'i_6', 'le_3', 'e_6'}","{'i_9', 'e_2', 'e_6'}","{'null_5', 'l_4', 'uno_1'}","{'l_3', 'e_4', 'il_1'}","{'null_5', 'i_6', 'e_3'}","{'le_2', 'le_1', 'uno_1'}","{'la_1', 'l_3', 'e_2'}","{'le_1', 'e_5'}","{'le_2', 'e_4'}","{'una_1', 'a_3', 'le_1'}","{'la_1', 'le_1', 'un_2'}","{'le_1', 'l_2', 'e_5'}","{'la_1', 'le_2', 'un_2', 'le_1'}","{'l_3', 'null_6', 'una_1'}","{'e_4', 'il_1'}","{'null_5', 'i_6', 'l_4', 'uno_1'}","{'i_9', 'e_2', 'i_5'}","{'i_8', 'le_2', 'e_5', 'uno_1'}","{'i_11', 'e_2', 'il_1'}","{'i_6', 'uno_3'}","{'i_9', 'l_3', 'null_6'}","{'e_4', 'uno_1'}","{'la_1', 'e_2', 'l_4'}","{'null_5', 'e_4', 'le_1'}","{'le_2', 'e_4', 'il_1'}","{'o_1', 'i_5', 'una_1'}","{'i_9', 'la_1', 'e_2', 'e_6'}","{'le_1', 'uno_2', 'i_5'}","{'una_1', 'l_5'}","{'i_6', 'i_10', 'null_5', 'una_1', 'e_6'}","{'i_9', 'e_4', 'e_5'}","{'la_1', 'il_1'}","{'i_6', 'il_1', 'un_2'}","{'la_1', 'i_9', 'null_71', 'le_2', 'e_5'}","{'uno_1', 'null_5', 'una_1', 'null_96', 'e_6'}","{'la_1', 'l_4'}","{'i_9', 'le_1', 'i_5', 'uno_1'}","{'le_2', 'l_3', 'e_6'}","{'i_9', 'i_5', 'una_1', 'le_1', 'uno_1'}","{'la_1', 'l_3', 'e_3'}","{'le_2', 'e_4', 'le_1'}","{'i_6', 'le_2'}","{'una_1', 'e_2', 'i_5'}","{'i_9', 'il_1', 'e_4', 'e_5'}","{'i_6', 'e_5', 'e_6'}","{'i_9', 'i_11', 'e_2'}","{'uno_1', 'e_3'}","{'il_1', 'e_5', 'e_3'}","{'i_6', 'una_1', 'e_2', 'i_5'}","{'i_9', 'le_2', 'e_2'}","{'le_2', 'e_2', 'uno_1'}","{'e_3', 'la_1', 'un_1', 'le_3'}","{'le_2', 'il_1'}","{'la_1', 'l_3', 'null_6'}","{'le_2', 'l_3', 'a_3'}","{'i_8', 'una_1', 'e_2'}","{'i_6', 'il_2'}","{'i_9', 'i_6'}","{'i_9', 'le_2', 'e_2', 'il_1'}","{'i_6', 'un_2'}","{'la_1', 'i_9', 'e_2', 'l_4'}","{'uno_1', 'l_3', 'null_6', 'una_1'}"
0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.0,10.1,10.0,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.0,10.1,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10.0,10.1,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.1,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.0,10.1,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.1,10.0,10.0,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.0,10.1,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.1,10.0,10.0,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10.0,10.1,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.1,10.0,10.0,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.0,10.1,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.1,10.0,10.0,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10.0,10.1,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.0,10.0,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,10.1,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.0,10.0,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
