trigger_label,trigger_values,trigger_diacritic,keep_values,weight
definite,"{'+atomic', '+definite', '+minimal'}","{'+atomic', '+minimal'}",{'+definite'},1
definite,"{'-minimal', '+definite', '-atomic'}","{'-minimal', '-atomic'}",{'+definite'},1
definite,"{'+atomic', '+definite', '+minimal'}",{'+atomic'},"{'+definite', '+minimal'}",1
definite,"{'+definite', '-atomic', '+minimal'}",{'-atomic'},"{'+definite', '+minimal'}",1
definite,"{'+atomic', '+definite', '+minimal'}",{'+definite'},"{'+atomic', '+minimal'}",1
definite,"{'-minimal', '+definite', '-atomic'}",{'+definite'},"{'-minimal', '-atomic'}",1
definite,"{'+atomic', '+definite', '+minimal'}","{'+definite', '+minimal'}",{'+atomic'},1
definite,"{'+definite', '-atomic', '+minimal'}","{'+definite', '+minimal'}",{'-atomic'},1
definite,"{'+atomic', '-definite'}",set(),"{'+atomic', '-definite'}",1
definite,"{'+atomic', '-definite', '+minimal'}",{'+minimal'},"{'+atomic', '-definite'}",1
