diacritic,pronunciation,label,values,triggers,weight
null_1,null,nominalizer,set(),set(),627.7999999999957
la_1,la,definite,"{'+atomic', '+definite'}",set(),9.400000000000004
a_1,a,atomic,{'+atomic'},set(),435.59999999999764
null_2,null,nominalizer,{'la_1'},set(),10.0
null_3,null,nominalizer,{'la_1'},"{('a', frozenset({'+atomic'}))}",10.5
GRANDPARENT_1,GRANDPARENT,GRANDPARENT,set(),set(),10.400000000000002
GRANDPARENT_2,GRANDPARENT,GRANDPARENT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.8
li_1,li,definite,"{'+definite', '-atomic'}",set(),8.300000000000006
l_1,l,definite,{'+definite'},set(),825.5999999999864
a_2,a,Agr,{'+atomic'},set(),448.09999999999525
i_1,i,Agr,{'-atomic'},set(),98.90000000000029
i_2,i,atomic,{'-atomic'},set(),103.50000000000014
null_4,null,nominalizer,{'i_1'},set(),109.19999999999959
null_5,null,nominalizer,{'i_1'},"{('i', frozenset({'-atomic'}))}",32.10000000000015
BOOK_1,BOOK,BOOK,set(),set(),10.8
BOOK_2,BOOK,BOOK,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.500000000000002
null_6,null,nominalizer,{'a_2'},set(),70.50000000000006
null_7,null,nominalizer,{'a_2'},"{('a', frozenset({'+atomic'}))}",28.700000000000006
BALL_1,BALL,BALL,set(),set(),14.200000000000008
BALL_2,BALL,BALL,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",23.599999999999994
DIFFERENCE_1,DIFFERENCE,DIFFERENCE,set(),set(),10.5
DIFFERENCE_2,DIFFERENCE,DIFFERENCE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
lo_1,lo,definite,"{'+atomic', '+definite'}",set(),9.000000000000004
o_1,o,Agr,{'+atomic'},set(),452.6999999999963
e_1,e,atomic,{'+atomic'},set(),77.10000000000002
null_8,null,nominalizer,{'o_1'},set(),85.10000000000002
null_9,null,nominalizer,{'o_1'},"{('e', frozenset({'+atomic'}))}",10.500000000000009
BALLOON_1,BALLOON,BALLOON,set(),set(),11.000000000000002
BALLOON_2,BALLOON,BALLOON,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",11.0
o_2,o,atomic,{'+atomic'},set(),353.9999999999991
null_10,null,nominalizer,{'o_1'},"{('o', frozenset({'+atomic'}))}",26.19999999999999
TABLE_1,TABLE,TABLE,set(),set(),10.9
TABLE_2,TABLE,TABLE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.5
una_1,una,definite,"{'+atomic', '-definite'}",set(),8.900000000000004
un_1,un,definite,{'-definite'},set(),216.70000000000124
BALLDIM_1,BALLDIM,BALLDIM,set(),set(),10.700000000000003
BALLDIM_2,BALLDIM,BALLDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",14.500000000000002
HOUSEDIM_1,HOUSEDIM,HOUSEDIM,set(),set(),9.8
HOUSEDIM_2,HOUSEDIM,HOUSEDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
MAT_1,MAT,MAT,set(),set(),10.200000000000001
MAT_2,MAT,MAT,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",13.0
ROOF_1,ROOF,ROOF,set(),set(),10.8
ROOF_2,ROOF,ROOF,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.5
