Line,set(),{'le_1'},{'e_1'},{'o_1'},{'una_1'},{'a_2'},{'i_2'},"{'o_1', 'i_2'}","{'e_1', 'a_2'}"
0,10.0,10.299999999999999,,,,,,,
1,10.0,0,10.0,10.0,,,,,
2,10.1,0,10.0,10.0,10.0,,,,
3,10.1,0,10.1,10.0,0,10.0,,,
4,10.2,0,10.1,10.0,0,10.0,10.0,,
5,10.2,0,10.2,10.0,0,10.1,10.0,,
6,10.2,0,10.299999999999999,10.0,0,10.2,10.0,,
7,10.2,0,10.299999999999999,10.0,0,10.399999999999999,10.0,,
8,10.2,0,10.499999999999998,10.0,0,10.399999999999999,10.0,,
9,10.2,0,10.499999999999998,10.0,0,10.599999999999998,10.0,,
10,10.2,0,10.599999999999998,10.0,0,10.599999999999998,10.0,,
11,10.2,0,10.599999999999998,10.1,0,10.599999999999998,10.0,,
12,10.2,0,10.599999999999998,10.2,0,10.599999999999998,10.0,,
13,10.2,0,10.899999999999997,10.2,0,10.599999999999998,10.0,,
14,10.2,0,10.899999999999997,10.2,0,10.699999999999998,10.0,,
15,10.2,0,10.899999999999997,10.2,0,10.699999999999998,10.0,,
16,10.2,0,10.899999999999997,10.2,0,10.699999999999998,10.0,,
17,10.2,0,10.899999999999997,10.2,0,10.899999999999997,10.0,,
18,10.2,0,10.899999999999997,10.2,0,10.899999999999997,10.0,,
19,10.2,0,10.999999999999996,10.299999999999999,0,10.899999999999997,10.0,,
20,10.2,0,10.999999999999996,10.299999999999999,0,11.099999999999996,10.0,,
21,10.2,0,10.999999999999996,10.299999999999999,0,11.099999999999996,10.0,,
22,10.2,0,11.099999999999996,10.299999999999999,0,11.099999999999996,10.0,,
23,10.2,0,11.199999999999996,10.299999999999999,0,11.299999999999995,10.0,,
24,10.2,0,11.299999999999995,10.299999999999999,0,11.399999999999995,10.0,,
25,10.2,0,11.499999999999995,10.299999999999999,0,11.399999999999995,10.0,,
26,10.299999999999999,0,11.699999999999994,10.299999999999999,0,11.399999999999995,10.0,,
27,10.299999999999999,0,11.799999999999994,10.599999999999998,0,11.399999999999995,10.0,10.0,
28,10.299999999999999,0,11.999999999999993,10.599999999999998,0,11.399999999999995,10.0,10.0,
29,10.299999999999999,0,12.199999999999992,10.599999999999998,0,11.399999999999995,10.0,10.0,
30,10.299999999999999,0,12.499999999999991,10.599999999999998,0,11.499999999999995,10.0,10.0,
31,10.299999999999999,0,12.59999999999999,10.599999999999998,0,11.699999999999994,10.0,10.0,
32,10.299999999999999,0,12.59999999999999,10.599999999999998,0,11.699999999999994,10.0,10.0,
33,10.299999999999999,0,12.69999999999999,10.699999999999998,0,11.699999999999994,10.0,10.0,
34,10.299999999999999,0,12.69999999999999,10.799999999999997,0,11.699999999999994,10.1,10.0,
35,10.299999999999999,0,12.99999999999999,10.799999999999997,0,11.699999999999994,10.1,10.0,
36,10.299999999999999,0,13.099999999999989,10.799999999999997,0,11.699999999999994,10.1,10.0,
37,10.299999999999999,0,13.099999999999989,10.799999999999997,0,11.699999999999994,10.2,10.0,
38,10.299999999999999,0,13.099999999999989,10.799999999999997,0,11.699999999999994,10.299999999999999,10.0,
39,10.299999999999999,0,13.099999999999989,10.899999999999997,0,11.699999999999994,10.299999999999999,10.0,
40,10.299999999999999,0,13.199999999999989,10.899999999999997,0,11.899999999999993,10.299999999999999,10.0,
41,10.299999999999999,0,13.199999999999989,10.899999999999997,0,11.899999999999993,10.399999999999999,10.499999999999998,
42,10.299999999999999,0,13.299999999999988,10.999999999999996,0,11.899999999999993,10.399999999999999,10.499999999999998,
43,10.299999999999999,0,13.899999999999986,10.999999999999996,0,11.899999999999993,10.399999999999999,10.499999999999998,10.0
