Line,set(),{'la_1'},{'a_2'},{'i_1'},{'o_1'},"{'o_1', 'i_1'}",{'e_2'},"{'a_2', 'e_2'}","{'a_2', 'i_1'}",{'la_2'},{'a_3'},"{'la_1', 'e_2'}","{'a_3', 'e_2'}","{'o_1', 'e_2'}"
0,10.0,10.2,,,,,,,,,,,,
1,10.0,0,10.1,10.0,,,,,,,,,,
2,10.0,0,10.2,10.0,,,,,,,,,,
3,10.0,0,10.399999999999999,10.0,,,,,,,,,,
4,10.0,0,10.799999999999997,10.0,,,,,,,,,,
5,10.0,0,10.799999999999997,10.0,10.0,,,,,,,,,
6,10.0,0,11.199999999999996,10.0,10.0,,,,,,,,,
7,10.0,0,11.199999999999996,10.0,10.0,,,,,,,,,
8,10.0,0,11.199999999999996,10.0,10.1,,,,,,,,,
9,10.0,0,11.199999999999996,10.0,10.2,,,,,,,,,
10,10.0,0,11.299999999999995,10.0,10.2,,,,,,,,,
11,10.0,0,11.499999999999995,10.0,10.2,,,,,,,,,
12,10.0,0,11.499999999999995,10.0,10.399999999999999,,,,,,,,,
13,10.0,0,11.799999999999994,10.0,10.399999999999999,,,,,,,,,
14,10.0,0,11.799999999999994,10.0,10.499999999999998,,,,,,,,,
15,10.0,0,12.299999999999992,10.0,10.499999999999998,,,,,,,,,
16,10.0,0,12.59999999999999,10.0,10.499999999999998,,,,,,,,,
17,10.0,0,12.59999999999999,10.0,10.499999999999998,,,,,,,,,
18,10.0,0,12.89999999999999,10.0,10.499999999999998,,,,,,,,,
19,10.0,0,12.99999999999999,10.0,10.599999999999998,,,,,,,,,
20,10.0,0,13.199999999999989,10.1,10.599999999999998,,,,,,,,,
21,10.0,0,13.599999999999987,10.1,10.599999999999998,,,,,,,,,
22,10.0,0,13.699999999999987,10.1,10.599999999999998,,,,,,,,,
23,10.0,0,13.999999999999986,10.1,10.599999999999998,,,,,,,,,
24,10.1,0,13.999999999999986,10.1,10.599999999999998,10.0,,,,,,,,
25,10.1,0,14.499999999999984,10.1,10.599999999999998,10.0,,,,,,,,
26,10.1,0,14.799999999999983,10.1,10.599999999999998,10.0,,,,,,,,
27,10.1,0,14.999999999999982,10.1,10.599999999999998,10.0,,,,,,,,
28,10.1,0,15.299999999999981,10.1,10.599999999999998,10.0,,,,,,,,
29,10.1,0,15.59999999999998,10.1,10.599999999999998,10.0,,,,,,,,
30,10.1,0,16.09999999999998,10.1,10.599999999999998,10.0,,,,,,,,
31,10.1,0,16.09999999999998,10.1,10.599999999999998,10.2,,,,,,,,
32,10.1,0,16.399999999999984,10.1,10.599999999999998,10.2,,,,,,,,
33,10.1,0,16.399999999999984,10.1,10.599999999999998,10.299999999999999,,,,,,,,
34,10.1,0,16.89999999999999,10.1,10.599999999999998,10.299999999999999,,,,,,,,
35,10.2,0,17.099999999999994,10.1,10.599999999999998,10.299999999999999,,,,,,,,
36,10.2,0,17.299999999999997,10.1,10.699999999999998,10.299999999999999,,,,,,,,
37,10.2,0,17.299999999999997,10.1,10.699999999999998,10.299999999999999,,,,,,,,
38,10.2,0,17.299999999999997,10.1,10.799999999999997,10.299999999999999,,,,,,,,
39,10.2,0,17.4,10.1,10.799999999999997,10.299999999999999,10.0,,,,,,,
40,10.2,0,17.900000000000006,10.1,10.799999999999997,10.299999999999999,10.0,,,,,,,
41,10.2,0,17.900000000000006,10.1,10.799999999999997,10.399999999999999,10.0,,,,,,,
42,10.2,0,18.000000000000007,10.1,10.799999999999997,10.399999999999999,10.0,,,,,,,
43,10.2,0,18.000000000000007,10.1,10.899999999999997,10.399999999999999,10.0,,,,,,,
44,10.2,0,18.400000000000013,10.1,10.899999999999997,10.399999999999999,10.0,,,,,,,
45,10.2,0,18.500000000000014,10.1,10.899999999999997,10.399999999999999,10.0,,,,,,,
46,10.2,0,18.80000000000002,10.1,10.899999999999997,10.399999999999999,10.0,,,,,,,
47,10.2,0,18.90000000000002,10.1,10.899999999999997,10.399999999999999,10.0,,,,,,,
48,10.2,0,19.00000000000002,10.2,10.899999999999997,10.399999999999999,10.0,,,,,,,
49,10.2,0,19.300000000000026,10.2,10.899999999999997,10.399999999999999,10.0,,,,,,,
50,10.299999999999999,0,19.60000000000003,10.2,10.899999999999997,10.399999999999999,10.0,,,,,,,
51,10.299999999999999,0,20.20000000000004,10.2,10.899999999999997,10.399999999999999,10.0,,,,,,,
52,10.299999999999999,0,20.20000000000004,10.2,10.899999999999997,10.399999999999999,10.0,,,,,,,
53,10.299999999999999,0,20.20000000000004,10.2,10.899999999999997,10.399999999999999,10.0,,,,,,,
54,10.299999999999999,0,20.500000000000043,10.2,10.899999999999997,10.399999999999999,10.0,,,,,,,
55,10.299999999999999,0,20.800000000000047,10.2,10.899999999999997,10.499999999999998,10.0,,,,,,,
56,10.399999999999999,0,21.200000000000053,10.2,10.899999999999997,10.499999999999998,10.0,,,,,,,
57,10.399999999999999,0,21.60000000000006,10.2,10.899999999999997,10.499999999999998,10.0,,,,,,,
58,10.399999999999999,0,21.60000000000006,10.2,10.899999999999997,10.499999999999998,10.0,,,,,,,
59,10.399999999999999,0,21.60000000000006,10.2,10.999999999999996,10.499999999999998,10.0,,,,,,,
60,10.399999999999999,0,21.70000000000006,10.2,10.999999999999996,10.499999999999998,10.0,,,,,,,
61,10.399999999999999,0,21.70000000000006,10.2,10.999999999999996,10.499999999999998,10.0,,,,,,,
62,10.399999999999999,0,21.70000000000006,10.2,10.999999999999996,10.499999999999998,10.0,,,,,,,
63,10.399999999999999,0,22.300000000000068,10.2,10.999999999999996,10.499999999999998,10.0,,,,,,,
64,10.499999999999998,0,22.50000000000007,10.2,10.999999999999996,10.499999999999998,10.0,,,,,,,
65,10.499999999999998,0,22.50000000000007,10.2,10.999999999999996,10.499999999999998,10.0,,,,,,,
66,10.499999999999998,0,22.800000000000075,10.2,10.999999999999996,10.499999999999998,10.0,,,,,,,
67,10.499999999999998,0,22.900000000000077,10.2,10.999999999999996,10.499999999999998,10.0,10.0,,,,,,
68,10.499999999999998,0,23.000000000000078,10.2,10.999999999999996,10.499999999999998,10.2,10.0,,,,,,
69,10.499999999999998,0,23.000000000000078,10.2,10.999999999999996,10.499999999999998,10.2,10.0,,,,,,
