Values,Weight,ANCHOR,BALL,BOOK,CAR,CASTLE,CAT,CHILD,CLOWN,EGG,FLOWER,FOOT,FROG,GRANDPARENT,HORSE,JIGSAW,KEY,KING,MILKCOW,MOTHER,MOUSE,OFFSPRING,PIBLING,POTATO,PROBLEM,SHELF,SHIP,TOMATO,TOWER,WHEEL,WOLF
{'a_2'},131.29999999999683,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0
"{'e_1', 'a_2'}",63.10000000000021,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0
"{'i_1', 'o_1'}",42.20000000000019,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1
{'o_1'},33.300000000000225,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1
{'i_1'},21.00000000000005,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
{'e_1'},15.39999999999998,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0
"{'e_1', 'o_1'}",12.099999999999993,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"{'i_1', 'a_2'}",11.799999999999994,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
set(),10.699999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
{'la_1'},0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0
