Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '-definite'} - definite - a_2","{'+definite', '+atomic'} - definite - o_1","{'+atomic', '-definite'} - definite - o_1"
0,,,,,,
1,,,,,,
2,1,1,,,,
3,1.1,1.2000000000000002,,,,
4,1.2000000000000002,1.2000000000000002,1,,,
5,1.4000000000000004,1.3000000000000003,1.1,,,
6,1.5000000000000004,1.3000000000000003,1.1,1.1,,
7,1.9000000000000008,1.4000000000000004,1.2000000000000002,1.2000000000000002,,
8,2.000000000000001,1.4000000000000004,1.2000000000000002,1.3000000000000003,,
9,2.100000000000001,1.4000000000000004,1.2000000000000002,1.5000000000000004,,
10,2.100000000000001,1.5000000000000004,1.3000000000000003,1.5000000000000004,1.2000000000000002,
11,2.100000000000001,1.5000000000000004,1.3000000000000003,1.5000000000000004,1.3000000000000003,1
12,2.100000000000001,1.6000000000000005,1.4000000000000004,1.5000000000000004,1.6000000000000005,1.1
13,2.200000000000001,1.6000000000000005,1.6000000000000005,1.5000000000000004,1.7000000000000006,1.1
14,2.200000000000001,1.7000000000000006,1.7000000000000006,1.5000000000000004,2.000000000000001,1.2000000000000002
15,2.200000000000001,1.8000000000000007,1.8000000000000007,1.5000000000000004,2.300000000000001,1.3000000000000003
16,2.5000000000000013,1.9000000000000008,1.9000000000000008,1.6000000000000005,2.300000000000001,1.3000000000000003
17,2.6000000000000014,1.9000000000000008,2.200000000000001,1.6000000000000005,2.4000000000000012,1.3000000000000003
18,2.9000000000000017,2.000000000000001,2.300000000000001,1.7000000000000006,2.4000000000000012,1.3000000000000003
19,3.0000000000000018,2.000000000000001,2.300000000000001,1.8000000000000007,2.4000000000000012,1.3000000000000003
20,3.0000000000000018,2.000000000000001,2.300000000000001,1.8000000000000007,2.5000000000000013,1.4000000000000004
21,3.0000000000000018,2.100000000000001,2.4000000000000012,1.8000000000000007,2.8000000000000016,1.5000000000000004
22,3.100000000000002,2.100000000000001,2.4000000000000012,1.9000000000000008,2.8000000000000016,1.5000000000000004
23,3.200000000000002,2.100000000000001,2.7000000000000015,1.9000000000000008,2.9000000000000017,1.5000000000000004
24,3.300000000000002,2.100000000000001,2.7000000000000015,2.000000000000001,2.9000000000000017,1.5000000000000004
25,3.400000000000002,2.100000000000001,3.0000000000000018,2.000000000000001,3.0000000000000018,1.5000000000000004
26,3.400000000000002,2.100000000000001,3.0000000000000018,2.000000000000001,3.100000000000002,1.6000000000000005
27,3.400000000000002,2.200000000000001,3.100000000000002,2.000000000000001,3.400000000000002,1.7000000000000006
28,3.400000000000002,2.300000000000001,3.200000000000002,2.000000000000001,3.7000000000000024,1.8000000000000007
29,3.500000000000002,2.300000000000001,3.400000000000002,2.000000000000001,3.8000000000000025,1.8000000000000007
