Line,set(),{'la_1'},{'lo_1'},{'a_2'},{'o_2'},{'e_1'},"{'i_2', 'o_2'}",{'i_2'},"{'e_1', 'a_2'}","{'e_1', 'o_2'}","{'i_2', 'a_2'}"
0,10.1,10.0,,,,,,,,,
1,10.1,10.0,10.0,,,,,,,,
2,10.1,0,0,10.0,10.0,10.2,,,,,
3,10.1,0,0,10.0,10.1,10.2,,,,,
4,10.1,0,0,10.1,10.1,10.2,,,,,
5,10.1,0,0,10.399999999999999,10.1,10.2,,,,,
6,10.1,0,0,10.599999999999998,10.1,10.2,,,,,
7,10.1,0,0,10.599999999999998,10.2,10.2,,,,,
8,10.1,0,0,10.799999999999997,10.2,10.2,,,,,
9,10.1,0,0,10.899999999999997,10.2,10.2,,,,,
10,10.2,0,0,10.999999999999996,10.299999999999999,10.2,10.0,,,,
11,10.2,0,0,11.099999999999996,10.399999999999999,10.2,10.0,10.2,,,
12,10.2,0,0,11.199999999999996,10.499999999999998,10.2,10.0,10.2,10.0,,
13,10.2,0,0,11.299999999999995,10.499999999999998,10.2,10.0,10.2,10.0,,
14,10.2,0,0,11.399999999999995,10.599999999999998,10.299999999999999,10.0,10.2,10.0,,
15,10.2,0,0,11.399999999999995,10.899999999999997,10.299999999999999,10.0,10.2,10.0,,
16,10.2,0,0,11.499999999999995,10.999999999999996,10.299999999999999,10.0,10.2,10.0,,
17,10.2,0,0,11.499999999999995,11.499999999999995,10.299999999999999,10.0,10.2,10.0,,
18,10.2,0,0,11.499999999999995,11.899999999999993,10.399999999999999,10.0,10.2,10.0,,
19,10.2,0,0,11.899999999999993,11.899999999999993,10.399999999999999,10.0,10.2,10.0,,
20,10.2,0,0,11.899999999999993,11.999999999999993,10.399999999999999,10.1,10.2,10.0,,
21,10.2,0,0,11.899999999999993,12.299999999999992,10.399999999999999,10.1,10.2,10.0,,
22,10.2,0,0,12.099999999999993,12.299999999999992,10.399999999999999,10.1,10.2,10.2,,
23,10.2,0,0,12.199999999999992,12.399999999999991,10.399999999999999,10.1,10.2,10.2,,
24,10.2,0,0,12.199999999999992,12.499999999999991,10.399999999999999,10.1,10.2,10.2,,
25,10.2,0,0,12.199999999999992,12.79999999999999,10.399999999999999,10.1,10.2,10.2,10.0,
26,10.2,0,0,12.199999999999992,13.199999999999989,10.399999999999999,10.1,10.2,10.2,10.0,
27,10.2,0,0,12.299999999999992,13.299999999999988,10.399999999999999,10.1,10.299999999999999,10.2,10.0,
28,10.2,0,0,12.399999999999991,13.299999999999988,10.399999999999999,10.1,10.299999999999999,10.2,10.0,
29,10.2,0,0,12.79999999999999,13.299999999999988,10.399999999999999,10.1,10.299999999999999,10.2,10.0,
30,10.2,0,0,12.79999999999999,13.399999999999988,10.399999999999999,10.1,10.299999999999999,10.2,10.0,
31,10.2,0,0,13.099999999999989,13.399999999999988,10.399999999999999,10.1,10.299999999999999,10.2,10.0,10.2
32,10.2,0,0,13.199999999999989,13.499999999999988,10.499999999999998,10.1,10.299999999999999,10.2,10.0,10.2
33,10.2,0,0,13.199999999999989,13.699999999999987,10.499999999999998,10.1,10.299999999999999,10.2,10.0,10.2
34,10.2,0,0,13.299999999999988,13.799999999999986,10.499999999999998,10.1,10.299999999999999,10.299999999999999,10.0,10.2
35,10.2,0,0,13.399999999999988,13.899999999999986,10.499999999999998,10.1,10.299999999999999,10.299999999999999,10.0,10.2
36,10.2,0,0,13.399999999999988,13.999999999999986,10.499999999999998,10.2,10.299999999999999,10.299999999999999,10.0,10.2
37,10.2,0,0,13.399999999999988,14.199999999999985,10.499999999999998,10.2,10.299999999999999,10.299999999999999,10.0,10.2
38,10.2,0,0,13.499999999999988,14.199999999999985,10.499999999999998,10.2,10.299999999999999,10.299999999999999,10.0,10.2
39,10.2,0,0,13.499999999999988,14.299999999999985,10.499999999999998,10.299999999999999,10.299999999999999,10.299999999999999,10.0,10.2
40,10.2,0,0,13.499999999999988,14.699999999999983,10.499999999999998,10.299999999999999,10.299999999999999,10.299999999999999,10.0,10.2
41,10.2,0,0,13.599999999999987,14.799999999999983,10.599999999999998,10.299999999999999,10.299999999999999,10.799999999999999,10.0,10.2
42,10.2,0,0,13.699999999999987,14.899999999999983,10.599999999999998,10.299999999999999,10.299999999999999,10.799999999999999,10.0,10.2
43,10.2,0,0,13.899999999999986,14.899999999999983,10.599999999999998,10.299999999999999,10.299999999999999,10.799999999999999,10.0,10.2
44,10.2,0,0,14.199999999999985,14.899999999999983,10.599999999999998,10.299999999999999,10.299999999999999,10.799999999999999,10.0,10.2
45,10.2,0,0,14.599999999999984,14.899999999999983,10.599999999999998,10.299999999999999,10.299999999999999,10.799999999999999,10.0,10.2
46,10.2,0,0,14.599999999999984,15.199999999999982,10.599999999999998,10.799999999999999,10.299999999999999,10.799999999999999,10.0,10.2
47,10.2,0,0,14.699999999999983,15.299999999999981,10.599999999999998,10.799999999999999,10.299999999999999,10.799999999999999,10.0,10.2
48,10.2,0,0,14.699999999999983,15.69999999999998,10.599999999999998,10.799999999999999,10.299999999999999,10.799999999999999,10.0,10.2
49,10.2,0,0,14.799999999999983,15.79999999999998,10.599999999999998,10.799999999999999,10.299999999999999,10.799999999999999,10.0,10.2
50,10.2,0,0,14.799999999999983,15.999999999999979,10.599999999999998,10.799999999999999,10.299999999999999,10.799999999999999,10.0,10.2
51,10.2,0,0,14.899999999999983,16.09999999999998,10.599999999999998,10.799999999999999,10.299999999999999,10.899999999999999,10.0,10.2
52,10.2,0,0,14.999999999999982,16.19999999999998,10.599999999999998,10.799999999999999,10.399999999999999,10.899999999999999,10.0,10.2
53,10.2,0,0,14.999999999999982,16.79999999999999,10.599999999999998,11.299999999999999,10.399999999999999,10.899999999999999,10.5,10.2
54,10.2,0,0,15.099999999999982,16.89999999999999,10.599999999999998,11.299999999999999,10.399999999999999,10.899999999999999,10.5,10.299999999999999
55,10.2,0,0,15.299999999999981,16.89999999999999,10.599999999999998,11.299999999999999,10.399999999999999,10.899999999999999,10.5,10.299999999999999
56,10.2,0,0,15.39999999999998,16.999999999999993,10.599999999999998,11.299999999999999,10.399999999999999,10.999999999999998,10.5,10.299999999999999
57,10.2,0,0,15.39999999999998,17.199999999999996,10.599999999999998,11.299999999999999,10.399999999999999,10.999999999999998,10.5,10.299999999999999
58,10.2,0,0,15.59999999999998,17.199999999999996,10.599999999999998,11.299999999999999,10.399999999999999,10.999999999999998,10.5,10.299999999999999
59,10.2,0,0,15.899999999999979,17.199999999999996,10.599999999999998,11.299999999999999,10.399999999999999,11.099999999999998,10.5,10.299999999999999
60,10.2,0,0,15.999999999999979,17.299999999999997,10.699999999999998,11.299999999999999,10.399999999999999,11.099999999999998,10.5,10.299999999999999
61,10.2,0,0,16.09999999999998,17.4,10.699999999999998,11.299999999999999,10.399999999999999,11.099999999999998,10.5,10.299999999999999
62,10.2,0,0,16.19999999999998,17.5,10.699999999999998,11.299999999999999,10.499999999999998,11.099999999999998,10.5,10.299999999999999
63,10.2,0,0,16.499999999999986,17.5,10.699999999999998,11.299999999999999,10.499999999999998,11.099999999999998,10.5,10.299999999999999
64,10.2,0,0,16.499999999999986,17.6,10.699999999999998,11.499999999999998,10.499999999999998,11.099999999999998,10.5,10.299999999999999
65,10.2,0,0,16.79999999999999,17.6,10.699999999999998,11.499999999999998,10.499999999999998,11.199999999999998,10.5,10.399999999999999
66,10.2,0,0,16.79999999999999,18.000000000000007,10.699999999999998,11.999999999999998,10.499999999999998,11.199999999999998,11.1,10.399999999999999
67,10.2,0,0,16.79999999999999,18.20000000000001,10.699999999999998,11.999999999999998,10.499999999999998,11.199999999999998,11.1,10.399999999999999
68,10.299999999999999,0,0,16.79999999999999,18.500000000000014,10.699999999999998,11.999999999999998,10.499999999999998,11.199999999999998,11.1,10.399999999999999
69,10.299999999999999,0,0,16.79999999999999,18.600000000000016,10.699999999999998,11.999999999999998,10.499999999999998,11.199999999999998,11.1,10.399999999999999
70,10.299999999999999,0,0,16.79999999999999,19.00000000000002,10.699999999999998,11.999999999999998,10.499999999999998,11.199999999999998,11.299999999999999,10.399999999999999
71,10.299999999999999,0,0,16.999999999999993,19.00000000000002,10.699999999999998,11.999999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
72,10.299999999999999,0,0,16.999999999999993,19.400000000000027,10.699999999999998,11.999999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
73,10.299999999999999,0,0,17.199999999999996,19.400000000000027,10.699999999999998,11.999999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
74,10.299999999999999,0,0,17.199999999999996,19.800000000000033,10.699999999999998,11.999999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
75,10.299999999999999,0,0,17.199999999999996,20.100000000000037,10.699999999999998,11.999999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
76,10.299999999999999,0,0,17.4,20.100000000000037,10.699999999999998,11.999999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
77,10.299999999999999,0,0,17.4,20.20000000000004,10.699999999999998,12.099999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
78,10.299999999999999,0,0,17.4,20.30000000000004,10.699999999999998,12.199999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
79,10.299999999999999,0,0,17.4,20.700000000000045,10.699999999999998,12.199999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
80,10.299999999999999,0,0,17.5,20.800000000000047,10.799999999999997,12.199999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
81,10.299999999999999,0,0,17.900000000000006,20.800000000000047,10.799999999999997,12.199999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
82,10.299999999999999,0,0,18.000000000000007,20.90000000000005,10.799999999999997,12.199999999999998,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
83,10.299999999999999,0,0,18.10000000000001,21.00000000000005,10.799999999999997,12.299999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
