Values,Weight,BALL,BOOK,CAR,CASTLE,CHILD,CLOWN,FLOWER,FOOT,FROG,GRANDPARENT,KEY,MILKCOW,MOUSE,OFFSPRING,PIBLING,TOWER
{'o_2'},91.79999999999907,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
{'a_2'},90.99999999999912,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1
"{'i_2', 'o_2'}",37.100000000000115,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
"{'e_1', 'a_2'}",35.20000000000012,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1
"{'i_2', 'a_2'}",29.50000000000005,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"{'e_1', 'o_2'}",28.00000000000003,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
{'i_2'},15.59999999999998,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
{'e_1'},15.199999999999982,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1
set(),10.599999999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
{'la_1'},0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1
{'lo_1'},0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
