Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - i_2"
0,,,,,,
1,,,,,,
2,1,1.2000000000000002,1,,,
3,1,1.2000000000000002,1.1,1,,
4,1.1,1.3000000000000003,1.1,1,,
5,1.3000000000000003,1.4000000000000004,1.1,1,,
6,1.4000000000000004,1.5000000000000004,1.1,1,,
7,1.4000000000000004,1.5000000000000004,1.2000000000000002,1.1,,
8,1.5000000000000004,1.5000000000000004,1.2000000000000002,1.1,1,
9,1.6000000000000005,1.5000000000000004,1.2000000000000002,1.1,1.1,
10,1.7000000000000006,1.5000000000000004,1.3000000000000003,1.1,1.1,1.1
11,1.8000000000000007,1.5000000000000004,1.4000000000000004,1.1,1.1,1.4000000000000004
12,1.9000000000000008,1.7000000000000006,1.5000000000000004,1.1,1.1,1.4000000000000004
13,2.000000000000001,1.7000000000000006,1.5000000000000004,1.1,1.2000000000000002,1.4000000000000004
14,2.100000000000001,2.000000000000001,1.6000000000000005,1.1,1.2000000000000002,1.4000000000000004
15,2.100000000000001,2.100000000000001,1.9000000000000008,1.2000000000000002,1.2000000000000002,1.5000000000000004
16,2.200000000000001,2.100000000000001,2.000000000000001,1.2000000000000002,1.2000000000000002,1.7000000000000006
17,2.200000000000001,2.200000000000001,2.4000000000000012,1.3000000000000003,1.2000000000000002,1.8000000000000007
18,2.200000000000001,2.300000000000001,2.7000000000000015,1.4000000000000004,1.2000000000000002,1.9000000000000008
19,2.300000000000001,2.300000000000001,2.7000000000000015,1.4000000000000004,1.4000000000000004,1.9000000000000008
20,2.300000000000001,2.300000000000001,2.8000000000000016,1.5000000000000004,1.4000000000000004,1.9000000000000008
21,2.300000000000001,2.300000000000001,2.9000000000000017,1.7000000000000006,1.4000000000000004,1.9000000000000008
22,2.4000000000000012,2.300000000000001,2.9000000000000017,1.7000000000000006,1.6000000000000005,1.9000000000000008
23,2.5000000000000013,2.300000000000001,3.0000000000000018,1.7000000000000006,1.6000000000000005,2.100000000000001
24,2.5000000000000013,2.300000000000001,3.100000000000002,1.8000000000000007,1.6000000000000005,2.100000000000001
25,2.5000000000000013,2.4000000000000012,3.400000000000002,1.9000000000000008,1.6000000000000005,2.200000000000001
26,2.5000000000000013,2.5000000000000013,3.7000000000000024,2.000000000000001,1.6000000000000005,2.300000000000001
27,2.6000000000000014,2.5000000000000013,3.8000000000000025,2.000000000000001,1.6000000000000005,2.6000000000000014
28,2.7000000000000015,2.5000000000000013,3.8000000000000025,2.000000000000001,1.7000000000000006,2.6000000000000014
29,3.0000000000000018,2.6000000000000014,3.8000000000000025,2.000000000000001,1.8000000000000007,2.7000000000000015
