Line,null_1,la_1,a_1,null_2,null_3,FROG_1,FROG_2,lo_1,o_1,null_4,null_5,CASTLE_1,CASTLE_2,le_1,l_1,a_2,e_1,o_2,i_1,null_6,null_7,KEY_1,KEY_2,uno_1,un_1,null_8,null_9,GRANDPARENT_1,GRANDPARENT_2,null_10,null_11,GRANDPARENT_3,CHILD_1,CHILD_2,MOUSE_1,MOUSE_2,una_1,MILKCOW_1,MILKCOW_2,li_1,i_2,null_12,null_13,GRANDPARENT_4,GRANDPARENT_5,GRANDPARENT_6,null_14,null_15,OFFSPRING_1,OFFSPRING_2,e_2,null_16,null_17,MILKCOW_3,MILKCOW_4,PIBLING_1,PIBLING_2,PIBLING_3,PIBLING_4,null_18,OFFSPRING_3,OFFSPRING_4,CLOWN_1,CLOWN_2,PIBLING_5,PIBLING_6,e_3,null_19,FOOT_1,FOOT_2,FLOWER_1,FLOWER_2,CHILD_3,null_20,null_21,MOUSE_3,MOUSE_4,null_22,KEY_3,KEY_4,null_23,FLOWER_3,FLOWER_4,null_24,null_25,OFFSPRING_5,OFFSPRING_6,null_26,FROG_3,FROG_4,BALL_1,BALL_2,BALL_3,BALL_4,null_27,null_28,CHILD_4,CHILD_5,CHILD_6,CHILD_7,CHILD_8,CHILD_9,PIBLING_7,PIBLING_8,PIBLING_9,CAR_1,CAR_2,BOOK_1,BOOK_2,FOOT_3,FOOT_4,null_29,CLOWN_3,CLOWN_4,CAR_3,CAR_4,BOOK_3,BOOK_4,TOWER_1,TOWER_2,TOWER_3,TOWER_4,null_30,null_31,OFFSPRING_7,OFFSPRING_8,OFFSPRING_9,null_32,GRANDPARENT_7,GRANDPARENT_8,GRANDPARENT_9,CASTLE_3,CASTLE_4,null_33,null_34,null_35,null_36,null_37,null_38,null_39,null_40,null_41
0,10.5,10.5,10.5,10.0,10.0,10.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.5,10.4,10.5,9.9,10.0,10.5,10.0,10.0,9.9,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.0,10.4,10.5,9.9,10.0,10.5,10.0,10.0,9.9,10.0,10.0,9.9,10.0,10.0,10.6,10.0,10.6,10.0,10.5,10.0,10.0,10.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11.0,10.4,10.4,9.9,10.0,10.5,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.7,10.0,10.6,10.1,10.5,10.0,9.9,10.5,10.0,10.0,9.9,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.9,10.4,10.5,9.9,10.0,10.5,10.0,10.0,9.9,10.0,10.0,9.9,10.0,10.0,10.799999999999999,10.1,10.7,10.0,10.5,10.0,9.9,10.5,10.0,10.0,9.9,10.0,10.0,9.9,9.9,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11.4,10.4,11.1,9.9,10.0,10.5,10.0,10.0,9.9,10.0,10.0,9.9,10.0,10.0,11.499999999999998,10.7,10.799999999999999,10.0,10.5,10.0,9.9,10.5,10.0,10.0,9.9,10.0,10.0,9.9,9.9,10.0,10.0,10.0,10.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11.3,10.4,11.1,9.9,10.0,10.5,10.0,9.9,9.9,10.0,10.0,9.9,10.0,10.0,11.699999999999998,10.799999999999999,10.899999999999999,10.0,10.5,10.0,9.9,10.5,10.0,10.0,9.9,10.0,10.0,9.9,9.9,10.0,10.0,10.0,9.9,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11.3,10.4,11.0,9.9,10.0,10.5,10.0,9.9,10.0,10.0,10.0,9.9,10.0,10.0,11.799999999999997,10.799999999999999,10.899999999999999,10.1,10.5,10.0,9.9,10.5,10.0,9.9,10.1,10.0,10.0,9.9,9.9,10.0,9.9,10.0,9.9,10.5,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11.200000000000001,10.4,11.0,9.9,10.0,10.5,10.0,9.9,10.0,10.0,10.0,9.9,10.0,10.0,11.899999999999997,10.899999999999999,10.899999999999999,10.1,10.5,10.0,9.9,10.5,10.0,9.8,10.299999999999999,10.0,10.0,9.9,9.9,10.0,9.9,10.0,9.8,10.5,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11.100000000000001,10.4,11.0,9.9,10.0,10.5,10.0,9.9,10.0,10.0,10.0,9.9,10.0,10.0,11.999999999999996,10.999999999999998,10.899999999999999,10.1,10.5,10.0,9.9,10.5,10.0,9.700000000000001,10.499999999999998,10.0,10.0,9.9,9.9,10.0,9.9,10.0,9.8,10.5,9.9,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
