Line,"{'+feminine', '+atomic', '+definite'} - definite - a_2","{'+feminine', '+definite', '-atomic'} - definite - e_1","{'+atomic', '+definite'} - definite - a_2","{'+feminine', '+definite', '-atomic'} - definite - e_2","{'+feminine', '+atomic', '+definite'} - definite - a_3","{'-atomic', '-feminine', '+definite'} - definite - i_1","{'+feminine', '+definite', '-atomic'} - definite - e_4","{'-atomic', '-feminine', '+definite'} - definite - i_2","{'+feminine', '-definite', '+atomic'} - definite - a_3","{'+feminine', '-definite', '+atomic'} - definite - a_2","{'+atomic', '-definite'} - definite - a_2","{'+feminine', '+atomic', '+definite'} - definite - a_4","{'+atomic', '-feminine', '+definite'} - definite - o_1","{'+atomic', '-feminine', '+definite'} - definite - o_2","{'-atomic', '-feminine', '+definite'} - definite - i_4","{'+atomic', '-feminine', '+definite'} - definite - o_3","{'+feminine', '-definite', '+atomic'} - definite - a_4","{'+atomic', '-definite', '-feminine'} - definite - o_1","{'+atomic', '-definite', '-feminine'} - definite - o_2","{'+atomic', '+definite'} - definite - o_3","{'+definite', '-atomic'} - definite - i_4","{'+atomic', '-definite', '-feminine'} - definite - o_3","{'+atomic', '-definite'} - definite - o_3","{'+definite', '-atomic'} - definite - e_1","{'-atomic', '-feminine', '+definite'} - definite - e_6"
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,1.1,,,,,,,,,,,,,,,,,,,,,
3,1.1,1.1,1.1,1.3000000000000003,,,,,,,,,,,,,,,,,,,,,
4,1.1,1.1,1.2000000000000002,1.3000000000000003,1,1.1,1,1,,,,,,,,,,,,,,,,,
5,1.1,1.1,1.2000000000000002,1.3000000000000003,1,1.1,1,1,,,,,,,,,,,,,,,,,
6,1.1,1.1,1.3000000000000003,1.3000000000000003,1.1,1.1,1,1,1,1,,,,,,,,,,,,,,,
7,1.1,1.1,1.3000000000000003,1.3000000000000003,1.1,1.1,1,1,1,1,,,,,,,,,,,,,,,
8,1.1,1.1,1.4000000000000004,1.3000000000000003,1.2000000000000002,1.1,1,1,1.1,1.2000000000000002,,,,,,,,,,,,,,,
9,1.2000000000000002,1.1,1.5000000000000004,1.3000000000000003,1.2000000000000002,1.1,1,1,1.1,1.2000000000000002,1.1,,,,,,,,,,,,,,
10,1.2000000000000002,1.1,1.5000000000000004,1.4000000000000004,1.2000000000000002,1.1,1,1,1.1,1.2000000000000002,1.1,1,1.1,1.1,1,1,,,,,,,,,
11,1.2000000000000002,1.1,1.5000000000000004,1.4000000000000004,1.2000000000000002,1.1,1,1,1.1,1.2000000000000002,1.1,1,1.1,1.2000000000000002,1,1,1,1.2000000000000002,1,,,,,,
