root,gender
Root: CAR,{'+feminine'}
Root: MOUSE,{'-feminine'}
Root: WOLF,{'-feminine'}
Root: BALL,{'+feminine'}
Root: FROG,{'+feminine'}
Root: WHEEL,{'+feminine'}
Root: TOWER,{'+feminine'}
Root: BOOK,{'-feminine'}
Root: CAT,{'-feminine'}
Root: ANCHOR,{'+feminine'}
Root: CASTLE,{'-feminine'}
Root: KEY,{'+feminine'}
Root: TOMATO,{'-feminine'}
Root: POTATO,{'+feminine'}
Root: HORSE,{'-feminine'}
Root: SHIP,{'+feminine'}
Root: JIGSAW,{'-feminine'}
Root: SHELF,{'-feminine'}
Root: EGG,{'-feminine'}
Root: FLOWER,{'-feminine'}
Root: FOOT,{'-feminine'}
