Line,la_1,a_1,null_1,null_2,MILKCOW_1,MILKCOW_2,la_2,null_3,null_4,CAR_1,CAR_2,le_1,l_1,a_2,e_1,l_2,e_2,e_3,null_5,MOTHER_1,MOTHER_2,li_1,a_3,i_1,l_3,e_4,i_2,i_3,null_6,null_7,CLOWN_1,CLOWN_2,una_1,un_1,un_2,MOTHER_3,MOTHER_4,POTATO_1,POTATO_2,una_2,e_5,null_8,TOWER_1,TOWER_2,null_9,null_10,lo_1,l_4,a_4,o_1,o_2,l_5,i_4,o_3,o_4,null_11,CLOWN_3,CLOWN_4,uno_1,un_3,GRANDPARENT_1,GRANDPARENT_2,null_12,lo_2,null_13,HORSE_1,HORSE_2,li_2,null_14,MOUSE_1,MOUSE_2,WOLF_1,WOLF_2,HORSE_3,HORSE_4,ANCHOR_1,ANCHOR_2,BALL_1,BALL_2,null_15,un_4,MOUSE_3,MOUSE_4,OFFSPRING_1,OFFSPRING_2,TOMATO_1,TOMATO_2,BOOK_1,BOOK_2,uno_2,BOOK_3,BOOK_4,CAT_1,CAT_2,CASTLE_1,CASTLE_2,FROG_1,FROG_2,le_2,null_16,FROG_3,FROG_4,OFFSPRING_3,OFFSPRING_4,SHIP_1,SHIP_2,CHILD_1,CHILD_2,WHEEL_1,WHEEL_2,WHEEL_3,WHEEL_4,CHILD_3,BALL_3,BALL_4,CAR_3,CAR_4,FOOT_1,FOOT_2,POTATO_3,POTATO_4,CAT_3,CAT_4,ANCHOR_3,ANCHOR_4,CASTLE_3,CASTLE_4,WOLF_3,WOLF_4,null_17,null_18,KING_1,KING_2,KEY_1,KEY_2,null_19,TOMATO_3,TOMATO_4,null_20,SHELF_1,SHELF_2,null_21,null_22,OFFSPRING_5,OFFSPRING_6,FLOWER_1,FLOWER_2,PROBLEM_1,PROBLEM_2,CHILD_4,CHILD_5,CHILD_6,null_23,FLOWER_3,FLOWER_4,null_24,null_25,KING_3,KING_4,MILKCOW_3,MILKCOW_4,null_26,KEY_3,KEY_4,TOWER_3,TOWER_4,PIBLING_1,PIBLING_2,SHELF_3,SHELF_4,GRANDPARENT_3,GRANDPARENT_4,null_27,null_28,null_29,EGG_1,EGG_2,PROBLEM_3,PROBLEM_4,FOOT_3,FOOT_4,PIBLING_3,SHIP_3,SHIP_4,null_30,JIGSAW_1,JIGSAW_2,OFFSPRING_7,OFFSPRING_8,OFFSPRING_9,GRANDPARENT_5,GRANDPARENT_6,PIBLING_4,PIBLING_5,PIBLING_6,GRANDPARENT_7,GRANDPARENT_8,GRANDPARENT_9,le_3,e_6,a_5,null_31,EGG_3,EGG_4,null_32,null_33,null_34,null_35,PIBLING_7,PIBLING_8,PIBLING_9,null_36,null_37,null_38,JIGSAW_3,JIGSAW_4,CHILD_7,CHILD_8,CHILD_9
0,10.5,10.5,10.5,10.1,10.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.0,11.1,10.6,10.2,10.5,10.0,10.1,10.5,10.0,10.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.0,11.1,11.1,10.299999999999999,10.5,10.0,10.1,10.5,10.0,10.0,10.5,10.0,10.0,10.1,10.5,10.5,10.0,10.5,10.1,10.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11.0,11.1,11.6,10.399999999999999,10.5,10.0,10.1,10.5,10.0,10.0,10.5,10.0,10.2,10.299999999999999,11.1,11.2,10.1,11.1,10.2,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11.0,11.1,11.6,10.399999999999999,10.5,10.0,10.1,10.5,10.0,10.0,10.5,10.0,10.2,10.399999999999999,11.0,11.499999999999998,10.1,11.1,10.2,10.0,11.0,10.0,10.0,10.1,10.0,10.0,10.0,9.9,9.9,10.0,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11.0,11.1,11.5,10.399999999999999,10.5,10.0,10.2,10.5,10.0,10.0,10.4,10.0,10.2,10.399999999999999,11.0,11.399999999999999,10.1,11.1,10.2,10.0,11.0,10.0,10.0,10.1,10.0,9.9,10.0,9.9,9.9,10.0,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11.0,11.1,11.4,10.399999999999999,10.5,10.0,10.2,10.5,10.0,10.0,10.4,10.0,10.2,10.499999999999998,11.0,11.599999999999998,10.1,11.1,10.2,10.0,11.0,10.0,10.1,10.1,10.0,9.8,10.0,9.9,9.9,10.0,10.0,9.9,10.0,9.9,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11.0,11.2,11.4,10.399999999999999,10.5,10.0,10.299999999999999,10.5,10.0,10.0,10.4,10.0,10.2,10.499999999999998,11.0,11.599999999999998,10.1,11.1,10.2,10.0,11.0,10.0,10.1,10.1,10.0,9.8,10.0,9.9,9.9,10.0,10.0,9.9,10.0,9.9,10.0,9.9,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11.0,11.799999999999999,11.5,10.499999999999998,10.5,10.5,10.299999999999999,11.0,10.0,10.0,10.4,10.0,10.2,11.099999999999998,11.0,11.799999999999997,10.1,11.1,10.299999999999999,10.0,11.0,10.0,10.2,10.1,10.0,9.8,10.0,9.9,9.9,10.0,10.0,9.9,10.0,10.1,10.7,9.9,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11.0,11.799999999999999,11.5,10.499999999999998,10.5,10.5,10.299999999999999,11.0,10.0,10.0,10.4,10.0,10.299999999999999,11.299999999999997,11.0,11.899999999999997,10.1,11.1,10.299999999999999,10.0,11.0,10.0,10.2,10.1,10.0,9.8,10.0,9.9,9.9,10.0,10.0,9.9,10.0,10.299999999999999,10.7,9.9,10.0,10.0,10.0,10.6,10.5,10.5,10.5,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
