Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '+atomic'} - definite - o_2","{'-definite', '+atomic', '-feminine'} - definite - o_2","{'-definite', '+atomic'} - definite - o_2","{'+feminine', '-definite', '+atomic'} - definite - a_2","{'-definite', '+atomic', '-feminine'} - definite - o_3","{'+feminine', '-definite', '+atomic'} - definite - a_3","{'+feminine', '-definite', '+atomic'} - definite - a_4","{'+feminine', '+definite', '+atomic'} - definite - a_4","{'+definite', '-atomic', '-feminine'} - definite - i_2","{'+definite', '-atomic', '-feminine'} - definite - i_3","{'+feminine', '+definite', '-atomic'} - definite - e_2","{'+definite', '+atomic', '-feminine'} - definite - o_3","{'+feminine', '+definite', '-atomic'} - definite - e_4","{'+definite', '+atomic', '-feminine'} - definite - o_2","{'+definite', '-atomic', '-feminine'} - definite - i_4","{'+feminine', '+definite', '+atomic'} - definite - a_3","{'+definite', '-atomic'} - definite - i_4","{'-definite', '+atomic'} - definite - a_2","{'+feminine', '+definite', '+atomic'} - definite - a_2"
0,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,
2,1,1.1,1,,,,,,,,,,,,,,,,,,
3,1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,
4,1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,
5,1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,
6,1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,
7,1,1.1,1.2000000000000002,1.1,1,,,,,,,,,,,,,,,,
8,1.1,1.1,1.2000000000000002,1.1,1,1,1,1.1,1,1,,,,,,,,,,,
9,1.2000000000000002,1.1,1.2000000000000002,1.1,1,1.1,1.1,1.3000000000000003,1.1,1.1,,,,,,,,,,,
10,1.3000000000000003,1.1,1.3000000000000003,1.1,1,1.1,1.1,1.3000000000000003,1.1,1.2000000000000002,1.3000000000000003,1,,,,,,,,,
11,1.4000000000000004,1.1,1.4000000000000004,1.1,1,1.1,1.1,1.3000000000000003,1.1,1.3000000000000003,1.6000000000000005,1.1,,,,,,,,,
12,1.5000000000000004,1.1,1.5000000000000004,1.1,1,1.1,1.1,1.3000000000000003,1.1,1.3000000000000003,1.6000000000000005,1.1,1.2000000000000002,,,,,,,,
13,1.6000000000000005,1.1,1.5000000000000004,1.1,1,1.2000000000000002,1.2000000000000002,1.5000000000000004,1.2000000000000002,1.4000000000000004,1.6000000000000005,1.1,1.2000000000000002,,,,,,,,
14,1.7000000000000006,1.1,1.6000000000000005,1.1,1,1.2000000000000002,1.2000000000000002,1.5000000000000004,1.2000000000000002,1.4000000000000004,1.6000000000000005,1.1,1.5000000000000004,,,,,,,,
