Line,null_1,le_1,i_1,null_2,null_3,SHIP_1,SHIP_2,lo_1,l_1,e_1,o_1,o_2,null_4,null_5,BOOK_1,BOOK_2,una_1,a_1,null_6,null_7,BALL_1,BALL_2,la_1,a_2,un_1,null_8,null_9,ANCHOR_1,ANCHOR_2,li_1,i_2,null_10,null_11,TOMATO_1,TOMATO_2,POTATO_1,POTATO_2,e_2,null_12,SHIP_3,SHIP_4,e_3,null_13,null_14,ANCHOR_3,ANCHOR_4,uno_1,CASTLE_1,CASTLE_2,null_15,KEY_1,KEY_2,null_16,SHELF_1,SHELF_2,MOUSE_1,MOUSE_2,SHELF_3,SHELF_4,CASTLE_3,CASTLE_4,MOUSE_3,MOUSE_4,FROG_1,FROG_2,POTATO_3,POTATO_4,FROG_3,FROG_4,FLOWER_1,FLOWER_2,null_17,null_18,BALL_3,BALL_4,KEY_3,KEY_4,BOOK_3,BOOK_4,TOMATO_3,TOMATO_4,null_19,null_20,null_21,FLOWER_3,FLOWER_4,null_22,null_23,null_24,null_25,null_26,null_27,null_28,null_29,null_30,null_31
0,10.0,10.1,10.1,10.0,10.2,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.0,10.1,10.1,10.0,10.2,10.0,10.1,10.0,9.9,10.0,10.0,9.9,10.0,9.9,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.1,10.1,10.1,10.0,10.2,10.0,10.1,10.0,9.9,10.0,10.0,9.9,10.0,9.9,9.9,10.0,10.1,10.1,10.0,10.0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10.0,10.1,10.1,10.0,10.2,10.0,10.1,9.9,10.2,10.1,10.0,9.9,10.0,9.9,9.9,10.0,10.1,10.0,10.0,10.0,10.0,10.1,10.0,10.1,10.0,10.0,10.0,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.1,10.1,10.2,10.0,10.2,10.0,10.1,9.9,10.499999999999998,10.1,10.1,9.9,10.0,9.9,9.9,10.0,10.1,10.0,10.0,10.0,10.0,10.1,10.0,10.2,10.0,10.0,10.0,10.0,9.9,10.1,10.1,10.0,10.0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.2,10.1,10.2,10.0,10.2,10.0,10.1,9.9,10.599999999999998,10.1,10.1,9.9,10.0,9.9,9.9,10.0,10.2,10.1,10.0,10.0,10.0,10.1,10.0,10.299999999999999,10.2,10.0,10.0,10.0,9.9,10.1,10.1,10.0,10.0,10.0,10.1,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10.2,10.1,10.2,10.0,10.2,10.0,10.0,9.9,10.899999999999997,10.2,10.0,9.8,10.0,9.8,9.9,10.0,10.2,10.1,10.0,10.0,10.0,10.1,10.0,10.599999999999998,10.299999999999999,10.0,10.0,10.0,9.9,10.1,10.2,10.0,10.0,10.0,10.1,10.0,10.1,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.1,10.1,10.2,10.0,10.2,10.0,10.0,9.9,10.999999999999996,10.2,10.0,9.8,10.0,9.8,9.9,10.0,10.2,10.0,10.0,10.0,10.0,10.1,10.0,10.699999999999998,10.399999999999999,10.0,10.0,10.0,9.8,10.1,10.2,10.0,10.0,10.0,10.1,10.0,10.1,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10.1,10.1,10.1,10.0,10.2,10.0,10.0,9.9,11.299999999999995,10.399999999999999,10.1,9.8,10.0,9.8,9.9,10.0,10.2,10.0,10.0,10.0,10.0,10.1,10.0,10.799999999999997,10.399999999999999,10.0,10.0,10.0,9.8,10.0,10.2,10.0,10.0,10.0,10.1,10.0,10.1,10.0,9.9,10.0,10.0,10.0,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.1,10.1,10.1,10.0,10.2,10.0,10.0,9.9,11.399999999999995,10.399999999999999,10.1,9.700000000000001,10.0,9.700000000000001,9.9,10.0,10.2,10.0,10.0,10.0,9.9,10.1,10.0,10.899999999999997,10.499999999999998,10.0,10.0,10.0,9.8,10.0,10.2,10.0,10.0,10.0,10.1,10.0,10.1,10.0,9.9,10.0,10.0,10.0,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
